iter,loss,phys,bc,shape,tip,block,EI_eff_Nmm2,k_p_N_per_kPa,val_total,val_shape,val_tip,val_block
39,11.969094276428223,1.4329967498779297,0.02801378071308136,0.3224719166755676,0.19023004174232483,0.00019203840929549187,1338.4716796875,0.00115623336751014,19.491039276123047,0.2985072433948517,0.6756700277328491,0.0007494438905268908
40,12.076457023620605,1.3879680633544922,0.04513416811823845,0.3223057687282562,0.18945081532001495,0.00020150099589955062,1336.8514404296875,0.001155200181528926,19.409597396850586,0.2984265685081482,0.6716606616973877,0.0007852978305891156
41,11.942275047302246,1.3905014991760254,0.03353920578956604,0.3221416473388672,0.18857187032699585,0.00021113343245815486,1335.242919921875,0.001154176308773458,19.202051162719727,0.2983471751213074,0.6613445281982422,0.0008216535206884146
42,11.906064987182617,1.3874624967575073,0.03354804217815399,0.3219833970069885,0.18706226348876953,0.00022090008133091033,1333.6622314453125,0.001153153833001852,18.90212631225586,0.29826608300209045,0.6464108228683472,0.0008587795309722424
43,11.845473289489746,1.3599724769592285,0.03395768254995346,0.32182806730270386,0.1853526532649994,0.000230874604312703,1332.10595703125,0.001152142765931785,18.645959854125977,0.29818129539489746,0.6336686015129089,0.0008963001891970634
44,11.839977264404297,1.3716052770614624,0.03477945923805237,0.32166871428489685,0.18423961102962494,0.00024095368280541152,1330.561279296875,0.001151143223978579,18.502309799194336,0.298089861869812,0.6265584826469421,0.0009341791737824678
45,11.82723617553711,1.3456721305847168,0.03782958164811134,0.32149946689605713,0.18353837728500366,0.0002511290949769318,1329.04248046875,0.0011501562548801303,18.463336944580078,0.2979896068572998,0.6246910691261292,0.0009723559487611055
46,11.861165046691895,1.3939237594604492,0.037937480956315994,0.32131949067115784,0.1829431653022766,0.0002613840624690056,1327.5281982421875,0.0011491713812574744,18.492006301879883,0.2978864908218384,0.6262081861495972,0.0010112096788361669
47,11.74903678894043,1.3698137998580933,0.030338354408740997,0.32113155722618103,0.18252447247505188,0.0002718212199397385,1326.022705078125,0.0011481958208605647,18.587656021118164,0.2977927327156067,0.6310648322105408,0.0010504473466426134
48,11.7977876663208,1.346817970275879,0.038121964782476425,0.3209364116191864,0.1824098825454712,0.00028236088110134006,1324.5343017578125,0.0011472332989796996,18.52962303161621,0.2977076768875122,0.6282285451889038,0.0010898910695686936
49,11.676298141479492,1.3086159229278564,0.030454102903604507,0.32074227929115295,0.18226829171180725,0.0002929563634097576,1323.0750732421875,0.0011462908005341887,18.39897918701172,0.29763370752334595,0.6217506527900696,0.0011292207054793835
50,11.736013412475586,1.368248701095581,0.03085784986615181,0.3205432593822479,0.1822642832994461,0.0003035209665540606,1321.6287841796875,0.0011453491169959307,18.257869720458984,0.29756516218185425,0.6147437691688538,0.0011692106490954757
51,11.659550666809082,1.323566198348999,0.027933966368436813,0.32033371925354004,0.18234136700630188,0.0003142626374028623,1320.2091064453125,0.0011444190749898553,18.197465896606445,0.297497034072876,0.6117715239524841,0.0012093896511942148
52,11.669794082641602,1.3545758724212646,0.02760382741689682,0.32010698318481445,0.18168951570987701,0.00032505483250133693,1318.8001708984375,0.0011434931075200438,18.265762329101562,0.2974296808242798,0.6152334213256836,0.0012500716838985682
53,11.566279411315918,1.3015069961547852,0.025813093408942223,0.31986120343208313,0.18030285835266113,0.0003359817201271653,1317.4232177734375,0.0011425823904573917,18.386905670166016,0.2973674535751343,0.6213324666023254,0.0012907293858006597
54,11.596115112304688,1.2903850078582764,0.03283674269914627,0.3196015954017639,0.17909306287765503,0.0003469030780252069,1316.0841064453125,0.0011416851775720716,18.350648880004883,0.2973133325576782,0.6195533275604248,0.001331431558355689
55,11.53765869140625,1.2924970388412476,0.029103320091962814,0.3193407952785492,0.17818669974803925,0.0003578351461328566,1314.7626953125,0.0011408071732148528,18.25656509399414,0.29726818203926086,0.6148740649223328,0.0013718715636059642
56,11.588278770446777,1.3248151540756226,0.032945550978183746,0.319075345993042,0.17744068801403046,0.00036869753967039287,1313.44970703125,0.0011399361537769437,18.263233184814453,0.2972260117530823,0.6152293682098389,0.0014125844463706017
57,11.4334135055542,1.286149263381958,0.0222177654504776,0.3187992572784424,0.1772652268409729,0.0003796324017457664,1312.161376953125,0.0011390799190849066,18.363069534301758,0.2971867322921753,0.6202400922775269,0.0014531840570271015
58,11.414753913879395,1.2798426151275635,0.02195890247821808,0.3185080289840698,0.17706282436847687,0.00039053845102898777,1310.90478515625,0.0011382349766790867,18.490257263183594,0.29714828729629517,0.6266176104545593,0.0014938139356672764
59,11.381274223327637,1.2752480506896973,0.020114349201321602,0.31820470094680786,0.176838681101799,0.00040145061211660504,1309.6839599609375,0.0011373994639143348,18.559001922607422,0.2971116304397583,0.6300712823867798,0.0015345478896051645
60,11.407793045043945,1.2910850048065186,0.0225369855761528,0.31789374351501465,0.17646698653697968,0.0004123915859963745,1308.479736328125,0.0011365722166374326,18.562908172607422,0.297076940536499,0.6302807331085205,0.001575414789840579
61,11.382420539855957,1.284749150276184,0.02223975770175457,0.31757852435112,0.17597346007823944,0.0004233669023960829,1307.299560546875,0.0011357509065419436,18.54166603088379,0.2970379889011383,0.6292371153831482,0.0016165182460099459
62,11.344694137573242,1.2966053485870361,0.018930191174149513,0.31725484132766724,0.17546729743480682,0.00043440680019557476,1306.1300048828125,0.0011349349515512586,18.53257179260254,0.29699456691741943,0.6288050413131714,0.00165787641890347
63,11.296868324279785,1.2834808826446533,0.0173934455960989,0.31692007184028625,0.17482981085777283,0.0004455150046851486,1304.9810791015625,0.0011341238860040903,18.54367446899414,0.2969413697719574,0.6293925642967224,0.0016995081678032875
