split,s_mm,s_over_L,p_kpa,x_mm,y_mm
train,158.15899581589957,0.7907949790794979,38.0,143.93970108519335,58.68282738188921
train,166.52719665271965,0.8326359832635982,38.0,150.65019833109383,63.68236464151762
train,174.89539748953973,0.8744769874476986,38.0,157.31392823754246,68.74409380516428
train,183.2635983263598,0.9163179916317991,38.0,163.94220417529306,73.85218011088008
train,191.63179916317992,0.9581589958158996,38.0,170.54666486897577,78.99103335912818
train,200.0,1.0,38.0,177.13916435381276,84.14522848328033
train,0.0,0.0,45.0,1.7009637256912774e-16,4.229112907499742e-24
train,7.531380753138075,0.03765690376569038,45.0,7.527103363214792,0.22012733869801468
train,15.899581589958158,0.0794979079497908,45.0,15.86062714325205,0.9663038158281646
train,24.26778242677824,0.1213389121338912,45.0,24.133822057723258,2.2155393041561764
train,32.63598326359833,0.16317991631799164,45.0,32.32112362478496,3.940733069692428
train,41.004184100418406,0.20502092050209203,45.0,40.401181241016744,6.1138962209056995
train,49.37238493723849,0.24686192468619247,45.0,48.35666608870367,8.70656092835895
train,57.74058577405857,0.28870292887029286,45.0,56.17405264648298,11.690134076568032
train,66.10878661087865,0.3305439330543933,45.0,63.84338161489519,15.036197131129756
train,74.47698744769875,0.37238493723849375,45.0,71.35801106998267,18.71675469681531
train,82.84518828451883,0.4142259414225941,45.0,78.71436167617317,22.704434753096614
train,91.2133891213389,0.45606694560669453,45.0,85.9116608440643,26.972643905339734
train,99.58158995815899,0.49790794979079495,45.0,92.95168982413078,31.49568120548763
train,107.94979079497908,0.5397489539748954,45.0,99.83853689416162,36.248814197614585
train,116.31799163179916,0.5815899581589958,45.0,106.57835903298766,41.208320852271825
train,124.68619246861924,0.6234309623430963,45.0,113.17915377925745,46.35150098859379
train,133.05439330543933,0.6652719665271967,45.0,119.65054235260712,51.65666066255248
train,141.4225941422594,0.7071129707112971,45.0,126.00356456452825,57.103072839604245
train,149.7907949790795,0.7489539748953975,45.0,132.25048556507386,62.67091748451899
train,158.15899581589957,0.7907949790794979,45.0,138.4046140557469,68.34120400287726
train,166.52719665271965,0.8326359832635982,45.0,144.48013124434536,74.09567876831089
train,174.89539748953973,0.8744769874476986,45.0,150.49192951976207,79.9167202761733
train,183.2635983263598,0.9163179916317991,45.0,156.45545957931327,85.78722428558524
train,191.63179916317992,0.9581589958158996,45.0,162.38658454389756,91.6904811539628
train,200.0,1.0,45.0,168.30143944337954,97.6100474361919
train,0.0,0.0,52.0,-2.938498395375973e-15,-1.592787561521224e-24
train,7.531380753138075,0.03765690376569038,52.0,7.525669441702268,0.25434525139776243
train,15.899581589958158,0.0794979079497908,52.0,15.847578035246729,1.116163044800442
train,24.26778242677824,0.1213389121338912,52.0,24.089001387600774,2.557839591829814
train,32.63598326359833,0.16317991631799164,52.0,32.215945941690016,4.5464928909305025
train,41.004184100418406,0.20502092050209203,52.0,40.200141907872734,7.047881721708385
train,49.37238493723849,0.24686192468619247,52.0,48.01878526922953,10.027041142918645
train,57.74058577405857,0.28870292887029286,52.0,55.65423270190984,13.448830572842098
train,66.10878661087865,0.3305439330543933,52.0,63.09366349459969,17.278396785088702
train,74.47698744769875,0.37238493723849375,52.0,70.32872074610978,21.481555586281825
train,82.84518828451883,0.4142259414225941,52.0,77.35514232432158,26.025096995796062
train,91.2133891213389,0.45606694560669453,52.0,84.17239033070565,30.87701946917207
train,99.58158995815899,0.49790794979079495,52.0,90.78328616759742,36.00669914417646
train,107.94979079497908,0.5397489539748954,52.0,97.1936567749913,41.38500028886323
train,116.31799163179916,0.5815899581589958,52.0,103.411996205332,46.98433313926683
train,124.68619246861924,0.6234309623430963,52.0,109.44914544666888,52.77866517215331
train,133.05439330543933,0.6652719665271967,52.0,115.31799228858274,58.7434916034391
train,141.4225941422594,0.7071129707112971,52.0,121.03319204881163,64.85577056925962
train,149.7907949790795,0.7489539748953975,52.0,126.61090913537056,71.09382806389424
train,158.15899581589957,0.7907949790794979,52.0,132.06857870070613,77.43723730243852
train,166.52719665271965,0.8326359832635982,52.0,137.42468704116763,83.86667676802529
train,174.89539748953973,0.8744769874476986,52.0,142.69856889631876,90.36377081172478
train,183.2635983263598,0.9163179916317991,52.0,147.91021939792444,96.91091631295856
train,191.63179916317992,0.9581589958158996,52.0,153.08011809799478,103.49109859138501
train,200.0,1.0,52.0,158.22906226026564,110.08769949722345
train,0.0,0.0,59.0,-1.4008583969056855e-16,4.0555223956016335e-23
train,7.531380753138075,0.03765690376569038,59.0,7.5240287622406425,0.2885527238933811
train,15.899581589958158,0.0794979079497908,59.0,15.832653343705946,1.2658255991619585
train,24.26778242677824,0.1213389121338912,59.0,24.03777169069759,2.8991294043549
train,32.63598326359833,0.16317991631799164,59.0,32.09583232835837,5.149129182260007
train,41.004184100418406,0.20502092050209203,59.0,39.97079441964309,7.974523358378714
train,49.37238493723849,0.24686192468619247,59.0,47.63379290977809,11.33297871449455
train,57.74058577405857,0.28870292887029286,59.0,55.062725606442484,15.18193485373865
